
Common Name,Scientific Name
American Crow,Corvus brachyrhynchos
American Goldfinch,Spinus tristis
American Kestrel,Falco sparverius
American Robin,Turdus migratorius
Bald Eagle,Haliaeetus leucocephalus
Bay-breasted Warbler,Setophaga castanea
Belted Kingfisher,Megaceryle alcyon
Black-throated Green Warbler,Setophaga virens
Blue Jay,Cyanocitta cristata
Brown Creeper,Certhia americana
Canada Warbler,Cardellina canadensis
Carolina Wren,Thryothorus ludovicianus
Cedar Waxwing,Bombycilla cedrorum
Chestnut-sided Warbler,Setophaga pensylvanica
Common Grackle,Quiscalus quiscula
Common Raven,Corvus corax
Common Yellowthroat,Geothlypis trichas
Downy Woodpecker,Dryobates pubescens
Eastern Bluebird,Sialia sialis
Eastern Phoebe,Sayornis phoebe
Eastern Towhee,Pipilo erythrophthalmus
Eastern Wood-Pewee,Contopus virens
European Starling,Sturnus vulgaris
Field Sparrow,Spizella pusilla
Golden-crowned Kinglet,Regulus satrapa
Gray Catbird,Dumetella carolinensis
Hairy Woodpecker,Dryobates villosus
Hermit Thrush,Catharus guttatus
House Sparrow,Passer domesticus
House Wren,Troglodytes aedon
Mourning Dove,Zenaida macroura
Northern Cardinal,Cardinalis cardinalis
Northern Flicker,Colaptes auratus
Northern Mockingbird,Mimus polyglottos
Northern Parula,Setophaga americana
Northern Shrike,Lanius borealis
Northern Waterthrush,Parkesia noveboracensis
Orchard Oriole,Icterus spurius
Ovenbird,Seiurus aurocapilla
Pileated Woodpecker,Dryocopus pileatus
Pine Warbler,Setophaga pinus
Purple Finch,Haemorhous purpureus
Red-bellied Woodpecker,Melanerpes carolinus
Red-breasted Nuthatch,Sitta canadensis
Red-eyed Vireo,Vireo olivaceus
Red-tailed Hawk,Buteo jamaicensis
Ruby-crowned Kinglet,Corthylio calendula
Scarlet Tanager,Piranga olivacea
Song Sparrow,Melospiza melodia
Swainson’s Thrush,Catharus ustulatus
Tufted Titmouse,Baeolophus bicolor
White-breasted Nuthatch,Sitta carolinensis
White-throated Sparrow,Zonotrichia albicollis
Wood Thrush,Hylocichla mustelina
